OBJECTID,Unit_Code,Tax_Year,District_Name,WebSite,GlobalID,Shape__Area,Shape__Length
21,700,2017,LIMESTONE HSD #310 (Dist # 700),http://www.limestone.k12.il.us,50efe990-2e99-46be-bf2b-940576089e52,1414185058.03198,218087.210635688
22,620,2017,BARTONVLE GSD #66 (Dist # 620),http://www.bgs66.org,c86e4b17-b2d3-4e8f-82f6-581c7d61e1a7,72230128.0939941,53652.2742516651
23,790,2017,HOLLIS GSD #328 (Dist # 790),http://www.hollis328.net,5233943a-9e24-4388-8370-f6cb15e98d0a,233754941.692871,81802.9108823356
24,710,2017,LIME-WALT GSD #316 (Dist # 710),http://www.limestonewalters.com,0bb03bad-65c3-4397-9d5e-bdb9d1e6ff70,492401900.991699,182339.117504616
25,650,2017,MONROE GSD #70 (Dist # 650),http://www.monroe70.org,f7a93bb5-a0b8-4d06-9355-bb732dc62ee4,105540042.831299,55775.7304411922
26,610,2017,NORWOOD GSD #63 (Dist # 610),http://www.norwood63.org,ee6387f2-8c73-4db2-9810-b0840070d897,151579343.508301,65281.5197403967
27,630,2017,OAK GROVE GSD #68 (Dist # 630),http://www.og68.org,e057c8f7-bdd0-40f2-8543-94ee4284d991,124324422.661133,58384.5336690824
28,640,2017,PLEA HILL GSD #69 (Dist # 640),http://www.phill69.com,e9a34b2d-e11e-4b49-bfdb-99af3af5eabe,49764971.2929688,40284.5729473561
29,600,2017,PLEA VAL GSD #62 (Dist # 600),http://www.pv62.com,c77fd0ee-c167-42f0-bf9c-2752d0b6d9d2,184589306.959717,68570.2787632227
30,690,2017,BRIMFIELD USD #309 (Dist # 690),http://www.brimfield309.com,73c302c1-67a9-4a8a-b661-faca5e51c4ff,2091993090.01538,346889.845134246
31,720,2017,CHIL IVC USD #321 (Dist # 720),http://www.ivcschools.com,0e111d2f-9787-4a1f-bda9-f86aeb61b598,1671532187.39502,273112.668858411
32,740,2017,DUNLAP CUSD #323 (Dist # 740),http://www.dunlapcusd.net,8c608a6f-c8e8-4faf-96ec-9dd9d7a4af4e,1890909015.84033,230437.457954349
33,730,2017,ELMWOOD USD #322 (Dist # 730),http://www.elmwood322.com,026f775d-d430-4bf8-a844-20b0068add4a,2039755660.76489,314934.097689753
34,890,2017,FARM-CEN CUSD #265 (Dist # 890),http://www.dist265.com,803ea364-f481-44b3-abaa-abb35e575d3c,2130323262.30762,233578.642350811
35,780,2017,ILLINI BLF CUSD #327 (Dist # 780),http://www.illinibluffs.com,196a6585-516b-4e8d-a21b-06079ec50e41,1606424917.49585,226422.72806795
36,760,2017,PEO HTS CUSD #325 (Dist # 760),http://www.phcusd325.net,62f27edd-595b-4d29-916c-32f636059a48,126171026.768555,119946.463343935
37,660,2017,PEORIA USD #150 (Dist # 660),http://www.psd150.org,2cb3b8b6-603e-489b-a7b7-024ec8c8de5e,1029832905.22681,294578.206693644
38,770,2017,PRNCEVLLE CUSD #326 (Dist # 770),http://www.princeville326.org,70fa102f-7174-4e24-a064-5977a8776b42,3312950233.77856,452191.19147074
39,800,2017,STARK COUNTY CUSD #100 (Dist # 800),http://stark100.com/,130b07cf-6bb7-4208-8fce-fa99f330599f,9825377.2565918,18364.4568041022
40,680,2017,WMSFIELD USD #210 (Dist # 680),http://www.billtown.org/,1ef69210-98d5-4887-b6e5-1220e2fd71a3,89080595.0546875,95856.8543467684
